CustomerID,Recency,Frequency,Monetary,RFM_Recency,RFM_Frequency,RFM_Monetary,RFM_Score
29818,3465,12,882276.5,2,1,1,211
29722,3434,12,860147.51,1,1,1,111
29715,3434,12,853850.64,1,1,1,111
30117,3465,12,817127.8,2,1,1,211
29614,3495,12,803769.85,2,1,1,211
29639,3434,12,787808.84,1,1,1,111
29701,3434,8,751632.86,1,1,1,111
29617,3465,12,741363.22,2,1,1,211
29994,3495,12,735235.7,2,1,1,211
29646,3495,12,731636.86,2,1,1,211
29580,3495,12,725939.18,2,1,1,211
29827,3495,12,712295.78,2,1,1,211
29497,3495,12,704317.24,2,1,1,211
29716,3465,12,694145.48,2,1,1,211
29913,3465,8,676735.38,2,1,1,211
30103,3465,8,648112.15,2,1,1,211
29957,3434,8,645562.94,1,1,1,111
29523,3465,12,619468.81,2,1,1,211
29616,3465,8,617860.29,2,1,1,211
30048,3495,8,603316.71,2,1,1,211
29562,3800,8,603126.2,5,1,1,511
29772,3495,8,586743.8,2,1,1,211
29712,3465,8,582459.32,2,1,1,211
30107,3465,12,578497.46,2,1,1,211
29924,3465,8,572559.74,2,1,1,211
30050,3434,8,562427.63,1,1,1,111
29641,3495,4,553926.58,2,1,1,211
29966,3434,12,538743.57,1,1,1,111
29997,3465,8,537529.02,2,1,1,211
29689,3495,8,535377.25,2,1,1,211
29486,3434,12,519421.28,1,1,1,111
29522,3465,12,492799.7,2,1,1,211
29705,3465,12,483325.08,2,1,1,211
30112,3465,8,478260.3,2,1,1,211
29546,3434,8,474415.29,1,1,1,111
30000,3495,8,473677.96,2,1,1,211
30074,3831,8,458655.07,5,1,1,511
29919,3465,8,456881.77,2,1,1,211
29507,3831,8,446508.89,5,1,1,511
29770,3434,8,445390.46,1,1,1,111
29559,3434,8,444556.46,1,1,1,111
29923,3465,4,443704.54,2,1,1,211
29834,3434,12,434593.74,1,1,1,111
29624,4196,4,433875.44,5,1,1,511
29992,3495,12,430612.45,2,1,1,211
29901,3465,12,428127.2,2,1,1,211
29690,3434,12,423734.22,1,1,1,111
29825,3495,12,422903.49,2,1,1,211
29707,3434,8,419061.31,1,1,1,111
30046,3434,8,418997.41,1,1,1,111
29734,3495,12,416751.76,2,1,1,211
29703,3831,8,414077.07,5,1,1,511
30049,3434,8,411134.74,1,1,1,111
29861,4196,4,409060.6,5,1,1,511
29844,3495,12,402409.65,2,1,1,211
29950,3434,12,402273.72,1,1,1,111
29940,3465,4,401722.19,2,1,1,211
29702,3434,12,400492.06,1,1,1,111
29744,3495,8,399830.47,2,1,1,211
29888,3465,12,395624.54,2,1,1,211
29724,3465,12,394900.55,2,1,1,211
29651,3434,12,392784.6,1,1,1,111
30067,3495,12,392708.14,2,1,1,211
29885,3831,8,387188.82,5,1,1,511
29714,3434,12,384395.16,1,1,1,111
29489,3495,12,380591.59,2,1,1,211
29938,3434,12,376679.92,1,1,1,111
29955,3465,12,373703.66,2,1,1,211
29987,3495,4,365530,2,1,1,211
29637,3434,12,363131.38,1,1,1,111
29647,3495,8,357951.42,2,1,1,211
29594,3861,4,357939.79,5,1,1,511
29587,3495,8,356807.85,2,1,1,211
29998,3800,4,356801.87,5,1,1,511
29629,3434,4,353769.47,1,1,1,111
29929,3434,8,350056.24,1,1,1,111
